级别	日期和时间	来源	事件 ID	任务类别
错误	2026/4/29 0:04:14	Microsoft-Windows-WER-SystemErrorReporting	1001	无	计算机已经从检测错误后重新启动。检测错误: 0x00000133 (0x0000000000000001, 0x0000000000001e00, 0xfffff801bd9c33a0, 0x0000000000000000)。已将转储的数据保存在: C:\WINDOWS\Minidump\042926-8687-01.dmp。报告 ID: eca9a849-29f3-435b-82a1-16eeffce4a80。
关键	2026/4/29 0:04:07	Microsoft-Windows-Kernel-Power	41	(63)	系统已在未先正常关机的情况下重新启动。如果系统停止响应、发生崩溃或意外断电，则可能会导致此错误。
错误	2026/4/29 0:04:07	volmgr	161	无	转储文件创建失败，因为在创建转储期间出错。BugCheckProgress 为： 000000000100000000000000A10004C00000000004001AC000000000000000000000000000000000
错误	2026/4/29 0:04:07	volmgr	161	无	转储文件创建失败，因为在创建转储期间出错。BugCheckProgress 为： 0x00000044
错误	2026/4/29 0:04:15	EventLog	6008	无	上一次系统的 0:04:06 在 ‎2026/‎4/‎29 上的关闭是意外的。
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception: ESR 0x523a38=0xffffffff

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 1: HUNG_ON_NIL_THREAD_RDAT

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 1: HUNG_ON_IL_THREAD_RDAT

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 1: ZWRRAM_ORPHANS

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 1: RDAT_ORPHANS

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 1: EOZP_MISMATCH

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 1: RDAT_ORPHANS

消息资源存在，但在消息表中找不到该消息。
"
错误	2026/4/29 0:10:52	nvlddmkm	13	无	"无法找到来自源 nvlddmkm 的事件 ID 13 的描述。本地计算机上未安装引发此事件的组件，或者安装已损坏。可以安装或修复本地计算机上的组件。

如果该事件产生于另一台计算机，则必须在该事件中保存显示信息。

以下是包含在事件中的信息: 

\Device\Video3
Graphics Exception on GPC 4 ZROP 1: CACHE_HIT_FROM_OTHER_GPC

消息资源存在，但在消息表中找不到该消息。
"
